nohup: ignoring input
Online fouloïde: 500000 steps, config=configs/micro_fouloide_online_homeostatic_rssm_v3_dreamerfix_buf500k.yaml, seed=0, device=cuda
step   27500 | wellbeing 0.041 | wm_loss 1.8251 | td 0.0000 | planner 0.00 | seuil None | eau 7 | bouffe 1 | morts 25 | eps 1.00
step   28000 | wellbeing 0.208 | wm_loss 1.8413 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 2 | morts 26 | eps 1.00
step   28500 | wellbeing 0.206 | wm_loss 1.8021 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 0 | morts 27 | eps 1.00
step   29000 | wellbeing 0.020 | wm_loss 1.8590 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 2 | morts 27 | eps 1.00
step   29500 | wellbeing 0.000 | wm_loss 1.8806 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 1 | morts 27 | eps 1.00
step   30000 | wellbeing 0.000 | wm_loss 1.8799 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 2 | morts 27 | eps 1.00
step   30500 | wellbeing 0.000 | wm_loss 1.8339 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 0 | morts 27 | eps 1.00
step   31000 | wellbeing 0.210 | wm_loss 1.8570 | td 0.0000 | planner 0.00 | seuil None | eau 3 | bouffe 1 | morts 28 | eps 1.00
step   31500 | wellbeing 0.008 | wm_loss 1.8220 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 2 | morts 28 | eps 1.00
step   32000 | wellbeing 0.209 | wm_loss 1.8374 | td 0.0000 | planner 0.00 | seuil None | eau 2 | bouffe 5 | morts 29 | eps 1.00
step   32500 | wellbeing 0.020 | wm_loss 1.8261 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 3 | morts 29 | eps 1.00
step   33000 | wellbeing 0.202 | wm_loss 1.8033 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 2 | morts 30 | eps 1.00
step   33500 | wellbeing 0.223 | wm_loss 1.8772 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 1 | morts 32 | eps 1.00
step   34000 | wellbeing 0.136 | wm_loss 1.8363 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 1 | morts 32 | eps 1.00
step   34500 | wellbeing 0.158 | wm_loss 1.8513 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 1 | morts 33 | eps 1.00
step   35000 | wellbeing 0.000 | wm_loss 1.8468 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 33 | eps 1.00
step   35500 | wellbeing 0.000 | wm_loss 1.8214 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 33 | eps 1.00
step   36000 | wellbeing 0.000 | wm_loss 1.8500 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 33 | eps 1.00
step   36500 | wellbeing 0.000 | wm_loss 1.8642 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 33 | eps 1.00
step   37000 | wellbeing 0.000 | wm_loss 1.8409 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 33 | eps 1.00
step   37500 | wellbeing 0.000 | wm_loss 1.8165 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 33 | eps 1.00
step   38000 | wellbeing 0.000 | wm_loss 1.8104 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 1 | morts 33 | eps 1.00
step   38500 | wellbeing 0.000 | wm_loss 1.8313 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 33 | eps 1.00
step   39000 | wellbeing 0.000 | wm_loss 1.7957 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 33 | eps 1.00
step   39500 | wellbeing 0.000 | wm_loss 1.8201 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 33 | eps 1.00
step   40000 | wellbeing 0.000 | wm_loss 1.7763 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 33 | eps 1.00
step   40500 | wellbeing 0.042 | wm_loss 1.8720 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 1 | morts 34 | eps 1.00
step   41000 | wellbeing 0.318 | wm_loss 1.8690 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 1 | morts 35 | eps 1.00
step   41500 | wellbeing 0.000 | wm_loss 1.8404 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 1 | morts 35 | eps 1.00
step   42000 | wellbeing 0.000 | wm_loss 1.7893 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 3 | morts 35 | eps 1.00
step   42500 | wellbeing 0.000 | wm_loss 1.8288 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 1 | morts 35 | eps 1.00
step   43000 | wellbeing 0.000 | wm_loss 1.8324 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 2 | morts 35 | eps 1.00
step   43500 | wellbeing 0.178 | wm_loss 1.8222 | td 0.0000 | planner 0.00 | seuil None | eau 2 | bouffe 1 | morts 36 | eps 1.00
