nohup: ignoring input
Online fouloïde: 500000 steps, config=configs/micro_fouloide_online_homeostatic_rssm_v3_dreamerfix.yaml, seed=0, device=cuda
step   45000 | wellbeing 0.154 | wm_loss 1.8566 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 0 | morts 41 | eps 1.00
  cerveau sauvegardé → runs/fouloide_online_seed0/checkpoint_online.pt
step   45500 | wellbeing 0.000 | wm_loss 1.8588 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 0 | morts 41 | eps 1.00
step   46000 | wellbeing 0.000 | wm_loss 1.8179 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 41 | eps 1.00
step   46500 | wellbeing 0.000 | wm_loss 1.7994 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 41 | eps 1.00
step   47000 | wellbeing 0.000 | wm_loss 1.7947 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 41 | eps 1.00
step   47500 | wellbeing 0.000 | wm_loss 1.8255 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 41 | eps 1.00
step   48000 | wellbeing 0.000 | wm_loss 1.8377 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 41 | eps 1.00
step   48500 | wellbeing 0.156 | wm_loss 1.8153 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 1 | morts 42 | eps 1.00
step   49000 | wellbeing 0.314 | wm_loss 1.8092 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 2 | morts 44 | eps 1.00
step   49500 | wellbeing 0.156 | wm_loss 1.8458 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 45 | eps 1.00
step   50000 | wellbeing 0.155 | wm_loss 1.8726 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 1 | morts 46 | eps 1.00
  cerveau sauvegardé → runs/fouloide_online_seed0/checkpoint_online.pt
step   50500 | wellbeing 0.000 | wm_loss 1.8299 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 0 | morts 46 | eps 1.00
step   51000 | wellbeing 0.000 | wm_loss 1.8152 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 0 | morts 46 | eps 1.00
step   51500 | wellbeing 0.000 | wm_loss 1.8305 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 0 | morts 46 | eps 1.00
step   52000 | wellbeing 0.126 | wm_loss 1.9239 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 47 | eps 1.00
step   52500 | wellbeing 0.028 | wm_loss 1.9241 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 47 | eps 1.00
step   53000 | wellbeing 0.000 | wm_loss 1.8560 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 1 | morts 47 | eps 1.00
